hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tract,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
carrier hikes prices after agreeing to keep jobs in indiana,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
gene therapy deal links selecta spark,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
two children toys raise privacy alarms,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
206 370,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
walsh pushes new tenant protections,BUSINESS,unknown,unknown,2016.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
airlines federal fines double,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
first do no harm,EDITORIAL OPINION,Opinion,By David Torchiana,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
race would be uphill,NEWS,Metro,unknown,2016.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
snl can resist dunkin donuts spoof,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
celtics 105 heat 95,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
civil rights group sues court offices after bias alleged,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hearts and song at valentine party,LIVING ARTS,unknown,unknown,2016.0,-71.0503695,42.3561918,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
minutemen prevail in ot,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
schedules suggest end is near for late service,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
high honors 71 years after his heroism,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cutting off the opioid epidemic at the root,EDITORIAL OPINION,Opinion,By Maura Healey,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
starry show by the big flipper,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
events puzzle victim sister,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
w. michael schopperle,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
quinnipiac ousts lowell in east final,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
legalization not fix for racial disparity,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
swath of atlantic to receive federal protection,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the argument should acton rescind its recent approval of cpa funds for church projects,REGIONAL,West,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
why israeli entrepreneurs keep choosing massachusetts,EDITORIAL OPINION,Opinion,By John Harthorne and Ron Liebowitz,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tokaji it rhymes with pie,LIVING ARTS,Food,unknown,2016.0,-71.061989,42.358283,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
place for caregivers to turn,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
why nestl is acting lot like drug company,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
treble clefs and technology,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
in packed service mourners recall nu students,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
from women no pardon for the interruptions,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
stronger sighting,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
screen play,REALESTATE,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
festival of the sea,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
union hospital reach accord,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
at brigham 10cc of relief,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
barnstable,NEWS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
georgia tech 76 bc 71,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new publication embraces locally grown food,LIVING ARTS,Food,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
lifting the veil at city hall,NEWS,Metro,By Yvonne Abraham,2016.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new plan makes tower third smaller,BUSINESS,unknown,unknown,2016.0,-71.0503042,42.3577348,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
boston changes app for parking tickets,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
little strokes fell great oaks,REALESTATE,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
city unveils plans to add alternatives for housing,BUSINESS,unknown,unknown,2016.0,-71.05762310000001,42.3603456,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
putting penalties on tap,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mother sick with leukemia asks for gifts for daughter,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hero blues,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tips for home search success,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new website helps patients comparison shop,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
head on hit puts kuechly in limbo,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
sight worth saving,NEWS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
pucks stop here,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ceo of plymouth hospital to step down,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
firefighters warned of job unintended health hazards,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mavericks thumbnails,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
rare species is returned to the fells,REGIONAL,North,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
baseball pitching probables,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
report says lacks cash expertise for fixes,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
back in black,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
watson clemson run over bc,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hunky dory,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
rattlesnakes ploughshares and print in portland,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
chess notes this week problem,NEWS,Metro,By Chris Chase,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
path forward emerges for chiofaro tower,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
time machine,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
initiative to give farm animals more room is approved,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
green and powe give troops an assist,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
surge in travel to israel reported,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
duke 81 bc 64,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the every student succeeds act will fail,SUNDAY,Ideas,By James Nehring,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
celtics hope to start another comeback celtics hope comeback will help down road,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
officer on leave for post on facebook,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the next act,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
beef with e. coli sickens several,NEWS,Metro,unknown,2016.0,-71.057716,42.35807,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
judge rules cosby wife must give deposition,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
massive changes ahead for masshealth,BUSINESS,unknown,unknown,2016.0,-71.06235869999999,42.3595958,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tv and radio highlights,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
more drug price scrutiny forecast,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
marketers for smaller companies join forces,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
plympton,REALESTATE,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
clear signal for weei sox,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
showers to ease drought briefly,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
daily guide,LIVING ARTS,unknown,unknown,2016.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
firm with spotty past regains state car inspection contract,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
driverless in boston let experiment,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hype over parkinson drug unwarranted,EDITORIAL OPINION,Letters,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
lenders eye social media for clues,BUSINESS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
charter school fight extends into the primaries,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
julian cyr and anthony schiavi for state senate,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
marijuana advocates allege city council violated law,NEWS,Metro,unknown,2016.0,-71.0607974,42.3584557,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
this day in history,NEWS,Metro,unknown,2016.0,-71.05745399999999,42.3587352,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
stevens aims for perfect practice,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
capitals thumbnails,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
this sat is new,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hot stuff,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
recognition proposed for bilingual graduates,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
hawks 118 celtics 107,SPORTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
boston adopt the community preservation act,EDITORIAL OPINION,Editorial,unknown,2016.0,-71.0582731,42.3603082,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
whisper from across the universe,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mass. group pushes automatic voter registration,NEWS,Metro,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mouthing off,LIVING ARTS,unknown,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
keeping public transit affordable is essential in combating global warming,EDITORIAL OPINION,Letters,unknown,2016.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,978.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
