hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tract,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
the 32nd time the charm,NEWS,Metro,unknown,2019.0,-71.057993,42.360406,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new kind of green beer,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new kind of green beer,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the climate can wait for green new deal,EDITORIAL OPINION,Opinion,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
actress pleads guilty in sat scam,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
menounos shares mother day update on her mom cancer,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
walsh should push for later last call beyond encore,EDITORIAL OPINION,Opinion,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
43 states sue drug firms over prices,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
wall st. pummels shares of insys,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
kathleen breen combes to retire from boston ballet become executive director of festival ballet providence,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for nonprofit some security,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
with black friday palehound ellen kempner is even deeper in her feelings,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
esposito can watch this 70 rematch,SPORTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
man convicted of three murders at 17 will stay in prison,NEWS,Metro,unknown,2019.0,-71.0611924,42.3591924,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
zdeno chara played it the hockey thing to do,SPORTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
cab drivers learn to cope with danger,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
feltman at peace with his level,SPORTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tool aims to help avoid sudden college closures,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
empty desks honor parkland victims,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
worcester woman pleads guilty in drug ring,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
after fiddling with the beatles lonely heartstring band is doing its own thing,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
shrinking ge will sell off fort point site,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for president why not mayor,EDITORIAL OPINION,Opinion,unknown,2019.0,-71.05798899999999,42.3592978,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
brady gisele celebrate with romantic instagram posts,LIVING ARTS,unknown,unknown,2019.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for walsh revelation in city addiction fight,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
krasinski gets third season of jack ryan,LIVING ARTS,unknown,unknown,2019.0,-71.0561981,42.3587684,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for alzheimer researchers it may be back to the drawing board,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ag vows to pursue purdue owners,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
we should not be taking baby steps to counter the ills of vaping,EDITORIAL OPINION,Letters,unknown,2019.0,-71.057716,42.35807,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
key site in downtown weston up for sale,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new data found on black holes,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
peering into an 1898 shipwreck,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
encore revenues tick higher,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
state treasurer is preparing run for kennedy seat in congress,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
state sees 38 possible cases of vaping illness,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for wbz radio stevens new chapter (and verse),LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
first time candidate kenzie bok wows the district field,EDITORIAL OPINION,Editorial,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
aide accused of assaulting woman 90,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bill banning fire retardant items is vetoed,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
irving had late night workout,SPORTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new mass. law expands credit protections,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
crossing the wisdom of age with wisdom of the crowd,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
second in command at the state police steps down,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
how to avoid winter blues when daylight is so scarce,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
retired police officer wife killed in n.h. crash,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
state street cutting 500 more jobs,BUSINESS,unknown,unknown,2019.0,-71.0546708,42.3592001,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
getting unstuffed,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
high pressure for weather service workers,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
rise of afrobeats in boston,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
worker 63 dies from injuries at new bedford seafood plant,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
breaker of barriers at the bar she wrote several key sjc rulings,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
legislators targeted solitary confinement yet its use still high,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
schools contaminated water signals an unfolding health crisis,EDITORIAL OPINION,Letters,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
after summer in limbo he thrilled to be back on the ice after summer in limbo mcavoy happy to sign,SPORTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
curiouser and curiouser two odd baker picks,EDITORIAL OPINION,Editorial,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
woman on the verge,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
new bedford promising charter school compromise,EDITORIAL OPINION,Editorial,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the argument,NEWS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
the safe spaces that colleges really need,SUNDAY,Ideas,By Ruth Jones,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
putting it in black and white,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
don want to smoke it drink it,NEWS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
there no place like (a) home,NEWS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
designer new to boston makes the most of small rental in an old church,MAGAZINE,unknown,By Marni Elyse Katz,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mulaney headlining arts fund raiser in the berkshires,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
what to do if you spot shark answers to safety questions,MAGAZINE,unknown,By Neil Swidey,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
faulty flowers rhododendron won bloom,REALESTATE,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
markey raised $1 million in quarter for reelection bid,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bald eagle recovering bee species endangered in state,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
all the facts about tax free weekend,BUSINESS,unknown,unknown,2019.0,-71.05962459999999,42.3587826,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
amrheins in deal to sell s. boston site for $18m,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
taste of summer in january,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
confirmed flu cases up nearly 70 percent over last season,NEWS,Metro,unknown,2019.0,-71.057716,42.35807,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
team warren maybe it should be team bailey.,NEWS,Metro,unknown,2019.0,-71.055252,42.3578377,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tsarnaev should have death penalty retrial ex sjc justice says,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
leftovers that should become law,EDITORIAL OPINION,Editorial,unknown,2019.0,-71.0623588,42.3595958,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
resolve to,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
naohiro maeda,LIVING ARTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
ge in boston amazon in nyc seemed like good ideas at the time,EDITORIAL OPINION,Letters,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
girl is third child to die from flu this season health officials report,NEWS,Metro,unknown,2019.0,-71.057716,42.35807,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
bruins discuss wild win in san jose,SPORTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
old mills get new lease from cannabis,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
big boost for local journalism,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
they started the fresh collective as network for women in the food industry,LIVING ARTS,Food,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
rural transit scarcity seen as rising issue,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
easing transition to salem state,NEWS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
walking the walk against racism,EDITORIAL OPINION,Opinion,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
in mass. housing stock sales rose in feb.,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
gen xers lament what about us,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
man faces sexual exploitation charges,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
blue hills show climate change,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
12 springfield officers indicted in assault case,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
information on children deaths elusive,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
as growth cools jobs picture is softening,BUSINESS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
health care venture says all will benefit from findings,BUSINESS,unknown,unknown,2019.0,-71.06082669999999,42.3584804,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
tournament gets off on right foot in paris,SPORTS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
mass moca head to be arraigned over crash,NEWS,Metro,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
reading jackson conroy is stepping up his game for wpi men soccer squad,NEWS,unknown,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
for enes kanter favorite destination is place he can visit,SUNDAY,Travel,unknown,2019.0,-71.0588801,42.3600825,30300.0,4872.0,4141.0,265.0,14.0,286.0,1.0,74.0,91.0,4872.0,4633.0,239.0,987.0,T_White alone,North End,9306.0,141.0,528.0,445.0,385.0,White alone
